"","word","n","n_papers","n_papers_total","p_papers"
"184","vision datasets",6,4,337,0.0118694362017804
"185","vision models",6,4,337,0.0118694362017804
"186","women people",5,4,337,0.0118694362017804
"187","100 million",3,3,337,0.00890207715133531
"188","accountability mechanisms",3,3,337,0.00890207715133531
"189","ad platforms",3,3,337,0.00890207715133531
"190","ads based",3,3,337,0.00890207715133531
"191","ads facebook",3,3,337,0.00890207715133531
"192","ads users",3,3,337,0.00890207715133531
"193","advances artificial",3,3,337,0.00890207715133531
"194","advances machine",3,3,337,0.00890207715133531
"195","ai algorithms",6,3,337,0.00890207715133531
"196","ai applications",3,3,337,0.00890207715133531
"197","ai fairness",7,3,337,0.00890207715133531
"198","ai models",3,3,337,0.00890207715133531
"199","ai research",3,3,337,0.00890207715133531
"200","aims address",3,3,337,0.00890207715133531
"201","algorithm design",5,3,337,0.00890207715133531
"202","algorithmic decisions",4,3,337,0.00890207715133531
"203","algorithms increasingly",3,3,337,0.00890207715133531
"204","algorithms study",3,3,337,0.00890207715133531
"205","analysis tools",3,3,337,0.00890207715133531
"206","answer question",3,3,337,0.00890207715133531
"207","antidiscrimination law",3,3,337,0.00890207715133531
"208","approach audit",3,3,337,0.00890207715133531
"209","art neural",3,3,337,0.00890207715133531
"210","audit framework",3,3,337,0.00890207715133531
"211","audit studies",4,3,337,0.00890207715133531
"212","audit systems",3,3,337,0.00890207715133531
"213","bad behavior",5,3,337,0.00890207715133531
"214","based age",3,3,337,0.00890207715133531
"215","based analysis",3,3,337,0.00890207715133531
"216","based data",3,3,337,0.00890207715133531
"217","based demographic",3,3,337,0.00890207715133531
"218","based findings",3,3,337,0.00890207715133531
"219","bias learned",3,3,337,0.00890207715133531
"220","black white",5,3,337,0.00890207715133531
"221","body literature",3,3,337,0.00890207715133531
"222","census data",5,3,337,0.00890207715133531
"223","characteristics paper",3,3,337,0.00890207715133531
"224","child welfare",11,3,337,0.00890207715133531
"225","classification systems",4,3,337,0.00890207715133531
"226","collaborative filtering",4,3,337,0.00890207715133531
"227","collection analysis",3,3,337,0.00890207715133531
"228","comparatively attention",3,3,337,0.00890207715133531
"229","conduct empirical",3,3,337,0.00890207715133531
"230","content analysis",3,3,337,0.00890207715133531
"231","credit system",7,3,337,0.00890207715133531
"232","critical decisions",3,3,337,0.00890207715133531
"233","daily lives",3,3,337,0.00890207715133531
"234","data analytics",3,3,337,0.00890207715133531
"235","data data",4,3,337,0.00890207715133531
"236","data derived",3,3,337,0.00890207715133531
"237","data documentation",5,3,337,0.00890207715133531
"238","data machine",3,3,337,0.00890207715133531
"239","data subjects",3,3,337,0.00890207715133531
"240","dataset creation",3,3,337,0.00890207715133531
"241","datasets critical",3,3,337,0.00890207715133531
"242","datasets findings",3,3,337,0.00890207715133531
"243","decision makers",4,3,337,0.00890207715133531
"244","decision support",3,3,337,0.00890207715133531
"245","decision system",3,3,337,0.00890207715133531
"246","deep neural",3,3,337,0.00890207715133531
"247","demographic characteristics",3,3,337,0.00890207715133531
"248","demonstrate framework",3,3,337,0.00890207715133531
"249","design development",3,3,337,0.00890207715133531
"250","design future",3,3,337,0.00890207715133531
"251","development process",3,3,337,0.00890207715133531
"252","differential treatment",3,3,337,0.00890207715133531
"253","distribution shift",3,3,337,0.00890207715133531
"254","diverse domains",3,3,337,0.00890207715133531
"255","documentation debt",6,3,337,0.00890207715133531
"256","domain level",3,3,337,0.00890207715133531
"257","effect sizes",3,3,337,0.00890207715133531
"258","effectiveness proposed",3,3,337,0.00890207715133531
"259","effects ai",3,3,337,0.00890207715133531
"260","embedding association",3,3,337,0.00890207715133531
"261","empirical results",3,3,337,0.00890207715133531
"262","error rate",3,3,337,0.00890207715133531
"263","error rates",6,3,337,0.00890207715133531
"264","ethical implications",3,3,337,0.00890207715133531
"265","ethical issues",4,3,337,0.00890207715133531
"266","ethical legal",3,3,337,0.00890207715133531
"267","evaluate bias",3,3,337,0.00890207715133531
"268","exclude users",3,3,337,0.00890207715133531
"269","facebook ad",3,3,337,0.00890207715133531
"270","facebook google",3,3,337,0.00890207715133531
"271","facebook's ad",3,3,337,0.00890207715133531
"272","fairness auditing",3,3,337,0.00890207715133531
"273","fairness community",3,3,337,0.00890207715133531
"274","fairness criteria",4,3,337,0.00890207715133531
"275","fairness discrimination",3,3,337,0.00890207715133531
"276","fairness machine",3,3,337,0.00890207715133531
"277","fairness metrics",4,3,337,0.00890207715133531
"278","fairness public",3,3,337,0.00890207715133531
"279","fairness research",3,3,337,0.00890207715133531
"280","fairness trade",3,3,337,0.00890207715133531
"281","fairness transparency",3,3,337,0.00890207715133531
"282","filter bubble",3,3,337,0.00890207715133531
"283","findings highlight",3,3,337,0.00890207715133531
"284","fine grained",3,3,337,0.00890207715133531
"285","fitzpatrick skin",4,3,337,0.00890207715133531
"286","global north",3,3,337,0.00890207715133531
"287","global south",3,3,337,0.00890207715133531
"288","google search",3,3,337,0.00890207715133531
"289","gpt 2",3,3,337,0.00890207715133531
"290","growing concern",3,3,337,0.00890207715133531
"291","harms caused",4,3,337,0.00890207715133531
"292","harms remains",3,3,337,0.00890207715133531
"293","impact assessment",3,3,337,0.00890207715133531
"294","individual rights",3,3,337,0.00890207715133531
"295","individuals subject",3,3,337,0.00890207715133531
"296","information people",5,3,337,0.00890207715133531
"297","inputs outputs",3,3,337,0.00890207715133531
"298","intelligence systems",5,3,337,0.00890207715133531
"299","investigate gender",3,3,337,0.00890207715133531
"300","lack thereof",3,3,337,0.00890207715133531
"301","language image",4,3,337,0.00890207715133531
"302","learning algorithm",4,3,337,0.00890207715133531
"303","learning research",4,3,337,0.00890207715133531
"304","learning techniques",3,3,337,0.00890207715133531
"305","machine translation",3,3,337,0.00890207715133531
"306","mitigate bias",4,3,337,0.00890207715133531
"307","mitigation techniques",3,3,337,0.00890207715133531
"308","mobile application",4,3,337,0.00890207715133531
"309","model fairness",4,3,337,0.00890207715133531
"310","model trained",4,3,337,0.00890207715133531
"311","models deployed",4,3,337,0.00890207715133531
"312","models perpetuate",3,3,337,0.00890207715133531
"313","negative impacts",3,3,337,0.00890207715133531
"314","neural language",4,3,337,0.00890207715133531
"315","nlp tasks",3,3,337,0.00890207715133531
"316","notion fairness",3,3,337,0.00890207715133531
"317","online platforms",3,3,337,0.00890207715133531
"318","paper addresses",3,3,337,0.00890207715133531
"319","paper aims",3,3,337,0.00890207715133531
"320","paper demonstrate",3,3,337,0.00890207715133531
"321","paper describes",3,3,337,0.00890207715133531
"322","paper discuss",3,3,337,0.00890207715133531
"323","paper provide",3,3,337,0.00890207715133531
"324","paper study",3,3,337,0.00890207715133531
"325","people images",3,3,337,0.00890207715133531
"326","platform economy",5,3,337,0.00890207715133531
"327","play role",3,3,337,0.00890207715133531
"328","political ads",7,3,337,0.00890207715133531
"329","political bias",4,3,337,0.00890207715133531
"330","popularity bias",14,3,337,0.00890207715133531
"331","potential impact",3,3,337,0.00890207715133531
"332","potentially discriminatory",3,3,337,0.00890207715133531
"333","pre trained",7,3,337,0.00890207715133531
"334","price discrimination",11,3,337,0.00890207715133531
"335","privacy concerns",3,3,337,0.00890207715133531
"336","process comprised",3,3,337,0.00890207715133531
"337","progress fair",3,3,337,0.00890207715133531
"338","provide insights",3,3,337,0.00890207715133531
"339","public accountability",4,3,337,0.00890207715133531
"340","public datasets",3,3,337,0.00890207715133531
"341","race ethnicity",6,3,337,0.00890207715133531
"342","raises question",3,3,337,0.00890207715133531
"343","raises questions",3,3,337,0.00890207715133531
"344","random effects",3,3,337,0.00890207715133531
"345","ranking algorithms",4,3,337,0.00890207715133531
"346","rapidly growing",3,3,337,0.00890207715133531
"347","recognition technology",4,3,337,0.00890207715133531
"348","recommender systems",3,3,337,0.00890207715133531
"349","reinforcement learning",4,3,337,0.00890207715133531
"350","related fairness",3,3,337,0.00890207715133531
"351","remains ambiguous",3,3,337,0.00890207715133531
"352","reproduce results",3,3,337,0.00890207715133531
"353","research social",3,3,337,0.00890207715133531
"354","researchers journalists",3,3,337,0.00890207715133531
"355","response algorithmic",3,3,337,0.00890207715133531
"356","risk scores",4,3,337,0.00890207715133531
"357","search engine",5,3,337,0.00890207715133531
"358","search queries",3,3,337,0.00890207715133531
"359","semi structured",3,3,337,0.00890207715133531
"360","service providers",6,3,337,0.00890207715133531
"361","significant effect",3,3,337,0.00890207715133531
"362","skew ad",5,3,337,0.00890207715133531
"363","skin tone",3,3,337,0.00890207715133531
"364","social biases",3,3,337,0.00890207715133531
"365","social credit",3,3,337,0.00890207715133531
"366","social science",3,3,337,0.00890207715133531
"367","software engineering",4,3,337,0.00890207715133531
"368","source diversity",5,3,337,0.00890207715133531
"369","specifically focus",3,3,337,0.00890207715133531
"370","speech recognition",4,3,337,0.00890207715133531
"371","stakeholders including",3,3,337,0.00890207715133531
"372","subgroups population",3,3,337,0.00890207715133531
"373","support systems",3,3,337,0.00890207715133531
"374","system performance",3,3,337,0.00890207715133531
"375","system scs",5,3,337,0.00890207715133531
"376","systems algorithmic",3,3,337,0.00890207715133531
"377","systems design",3,3,337,0.00890207715133531
"378","systems identify",3,3,337,0.00890207715133531
"379","systems including",3,3,337,0.00890207715133531
"380","systems individuals",3,3,337,0.00890207715133531
"381","systems paper",3,3,337,0.00890207715133531
"382","technical legal",3,3,337,0.00890207715133531
"383","trained internet",3,3,337,0.00890207715133531
"384","trained models",4,3,337,0.00890207715133531
"385","training distribution",3,3,337,0.00890207715133531
"386","training language",3,3,337,0.00890207715133531
"387","training set",3,3,337,0.00890207715133531
"388","transparent accountable",3,3,337,0.00890207715133531
"389","user preferences",3,3,337,0.00890207715133531
"390","users ads",7,3,337,0.00890207715133531
"391","users algorithmic",3,3,337,0.00890207715133531
"392","vision natural",3,3,337,0.00890207715133531
"393","voice assistant",4,3,337,0.00890207715133531
"394","voice assistants",4,3,337,0.00890207715133531
"395","welfare system",4,3,337,0.00890207715133531
"396","world data",3,3,337,0.00890207715133531
"397","world systems",3,3,337,0.00890207715133531
"398","2 dataset",2,2,337,0.00593471810089021
"399","2.5 million",2,2,337,0.00593471810089021
"400","2019 2020",2,2,337,0.00593471810089021
"401","2020 collected",2,2,337,0.00593471810089021
"402","5 data",2,2,337,0.00593471810089021
"403","academic research",2,2,337,0.00593471810089021
"404","accountability algorithms",2,2,337,0.00593471810089021
"405","accountability conclude",2,2,337,0.00593471810089021
"406","accountability data",2,2,337,0.00593471810089021
"407","accountability governance",2,2,337,0.00593471810089021
"408","accountability practices",2,2,337,0.00593471810089021
"409","accountability relationships",4,2,337,0.00593471810089021
"410","accountability systems",2,2,337,0.00593471810089021
"411","accountable systems",2,2,337,0.00593471810089021
"412","accuracy data",2,2,337,0.00593471810089021
"413","achieve prediction",2,2,337,0.00593471810089021
"414","achieving goal",2,2,337,0.00593471810089021
"415","active users",2,2,337,0.00593471810089021
"416","activity recognition",5,2,337,0.00593471810089021
"417","ad library",2,2,337,0.00593471810089021
"418","ad significantly",2,2,337,0.00593471810089021
"419","adding unifying",2,2,337,0.00593471810089021
"420","additional properties",2,2,337,0.00593471810089021
"421","address challenge",2,2,337,0.00593471810089021
"422","address concerns",2,2,337,0.00593471810089021
"423","address ethical",2,2,337,0.00593471810089021
"424","address harms",2,2,337,0.00593471810089021
"425","address issues",2,2,337,0.00593471810089021
"426","address potential",2,2,337,0.00593471810089021
"427","addresses issue",2,2,337,0.00593471810089021
"428","adequately documented",2,2,337,0.00593471810089021
"429","administrative data",3,2,337,0.00593471810089021
"430","ads comparatively",2,2,337,0.00593471810089021
"431","ads employment",2,2,337,0.00593471810089021
"432","ads hypothesized",2,2,337,0.00593471810089021
"433","ads targeted",3,2,337,0.00593471810089021
"434","adult compas",4,2,337,0.00593471810089021
"435","adults single",3,2,337,0.00593471810089021
"436","advancing understanding",2,2,337,0.00593471810089021
"437","adversarial attack",2,2,337,0.00593471810089021
"438","adversarial attacks",2,2,337,0.00593471810089021
"439","adversarial testing",3,2,337,0.00593471810089021
"440","adverse effects",2,2,337,0.00593471810089021
"441","advertiser's budget",2,2,337,0.00593471810089021
"442","advertisers intend",2,2,337,0.00593471810089021
"443","advertisers preventing",2,2,337,0.00593471810089021
"444","advertisers set",2,2,337,0.00593471810089021
"445","advertisers target",2,2,337,0.00593471810089021
"446","advertising campaigns",2,2,337,0.00593471810089021
"447","advertising policies",2,2,337,0.00593471810089021
"448","affect extent",2,2,337,0.00593471810089021
"449","affected systems",2,2,337,0.00593471810089021
"450","affirmative action",9,2,337,0.00593471810089021
"451","agent based",2,2,337,0.00593471810089021
"452","ai algorithm",2,2,337,0.00593471810089021
"453","ai community",2,2,337,0.00593471810089021
"454","ai ethics",2,2,337,0.00593471810089021
"455","ai governance",2,2,337,0.00593471810089021
"456","ai industry",2,2,337,0.00593471810089021
"457","ai machine",2,2,337,0.00593471810089021
"458","ai nlp",5,2,337,0.00593471810089021
"459","ai pipeline",3,2,337,0.00593471810089021
"460","ai policy",2,2,337,0.00593471810089021
"461","ai principles",3,2,337,0.00593471810089021
"462","ai product",2,2,337,0.00593471810089021
"463","ai public",2,2,337,0.00593471810089021
"464","ai recent",2,2,337,0.00593471810089021
"465","ai regulation",2,2,337,0.00593471810089021
"466","ai safety",2,2,337,0.00593471810089021
"467","ai system",2,2,337,0.00593471810089021
"468","ai technology",3,2,337,0.00593471810089021
"469","aim paper",2,2,337,0.00593471810089021
"470","aim tackle",2,2,337,0.00593471810089021
"471","aiming improving",2,2,337,0.00593471810089021
"472","alexa voice",2,2,337,0.00593471810089021
"473","algorith mic",2,2,337,0.00593471810089021
"474","algorithm fairness",3,2,337,0.00593471810089021
"475","algorithmic affirmative",8,2,337,0.00593471810089021
"476","algorithmic auditors",3,2,337,0.00593471810089021
"477","algorithmic biases",3,2,337,0.00593471810089021
"478","algorithmic curation",5,2,337,0.00593471810089021
"479","algorithmic governance",2,2,337,0.00593471810089021
"480","algorithmic harm",2,2,337,0.00593471810089021
"481","algorithmic harms",2,2,337,0.00593471810089021
"482","algorithmic impacts",2,2,337,0.00593471810089021
"483","algorithmic platforms",3,2,337,0.00593471810089021
"484","algorithmic system's",3,2,337,0.00593471810089021
"485","algorithmic tools",2,2,337,0.00593471810089021
"486","algorithms applied",2,2,337,0.00593471810089021
"487","algorithms article",2,2,337,0.00593471810089021
"488","algorithms based",2,2,337,0.00593471810089021
"489","algorithms deployed",2,2,337,0.00593471810089021
"490","algorithms detect",2,2,337,0.00593471810089021
"491","algorithms discrimination",2,2,337,0.00593471810089021
"492","algorithms play",2,2,337,0.00593471810089021
"493","algorithms real",2,2,337,0.00593471810089021
"494","algorithms ridehailing",2,2,337,0.00593471810089021
"495","allegheny county",2,2,337,0.00593471810089021
"496","aloud interviews",2,2,337,0.00593471810089021
"497","alt text",7,2,337,0.00593471810089021
"498","amazon alexa",3,2,337,0.00593471810089021
"499","american community",2,2,337,0.00593471810089021
"500","american website",2,2,337,0.00593471810089021
"501","amplify bias",2,2,337,0.00593471810089021
"502","analysis algorithms",2,2,337,0.00593471810089021
"503","analysis based",2,2,337,0.00593471810089021
"504","analysis explore",2,2,337,0.00593471810089021
"505","analysis paper",2,2,337,0.00593471810089021
"506","analyze autonomous",2,2,337,0.00593471810089021
"507","analyze datasets",2,2,337,0.00593471810089021
"508","analyze impact",2,2,337,0.00593471810089021
"509","applications cloud",3,2,337,0.00593471810089021
"510","applications complex",2,2,337,0.00593471810089021
"511","applications data",2,2,337,0.00593471810089021
"512","approach compare",2,2,337,0.00593471810089021
"513","approach enables",2,2,337,0.00593471810089021
"514","approaches mitigating",2,2,337,0.00593471810089021
"515","appropriately adequately",2,2,337,0.00593471810089021
"516","argue algorithmic",2,2,337,0.00593471810089021
"517","art multimodal",2,2,337,0.00593471810089021
"518","art performance",2,2,337,0.00593471810089021
"519","aspects algorithmic",2,2,337,0.00593471810089021
"520","aspects data",2,2,337,0.00593471810089021
"521","assess impact",2,2,337,0.00593471810089021
"522","assessment tool",2,2,337,0.00593471810089021
"523","association test",2,2,337,0.00593471810089021
"524","attention concerns",2,2,337,0.00593471810089021
"525","attention focused",2,2,337,0.00593471810089021
"526","attention recent",2,2,337,0.00593471810089021
"527","attention trained",2,2,337,0.00593471810089021
"528","attitudes behaviors",2,2,337,0.00593471810089021
"529","audit experiments",2,2,337,0.00593471810089021
"530","audit findings",2,2,337,0.00593471810089021
"531","audit quality",2,2,337,0.00593471810089021
"532","audit related",2,2,337,0.00593471810089021
"533","auditing approaches",3,2,337,0.00593471810089021
"534","auditing framework",2,2,337,0.00593471810089021
"535","auditing processes",3,2,337,0.00593471810089021
"536","auditing systems",2,2,337,0.00593471810089021
"537","auditing tool",2,2,337,0.00593471810089021
"538","auditing tools",2,2,337,0.00593471810089021
"539","audits audits",2,2,337,0.00593471810089021
"540","audits search",2,2,337,0.00593471810089021
"541","augment human",2,2,337,0.00593471810089021
"542","automated algorithmic",2,2,337,0.00593471810089021
"543","automated hiring",2,2,337,0.00593471810089021
"544","autonomous car",2,2,337,0.00593471810089021
"545","autonomous vehicles",4,2,337,0.00593471810089021
"546","aware machine",2,2,337,0.00593471810089021
"547","balanced training",3,2,337,0.00593471810089021
"548","based biases",2,2,337,0.00593471810089021
"549","based criteria",2,2,337,0.00593471810089021
"550","based gender",2,2,337,0.00593471810089021
"551","based healthcare",2,2,337,0.00593471810089021
"552","based information",2,2,337,0.00593471810089021
"553","based model",2,2,337,0.00593471810089021
"554","based protocols",2,2,337,0.00593471810089021
"555","behavior paper",2,2,337,0.00593471810089021
"556","behaviors formal",2,2,337,0.00593471810089021
"557","benchmarking practices",2,2,337,0.00593471810089021
"558","bias algorithmic",2,2,337,0.00593471810089021
"559","bias analyses",2,2,337,0.00593471810089021
"560","bias analysis",2,2,337,0.00593471810089021
"561","bias automated",3,2,337,0.00593471810089021
"562","bias based",2,2,337,0.00593471810089021
"563","bias concretely",2,2,337,0.00593471810089021
"564","bias datasets",2,2,337,0.00593471810089021
"565","bias detection",2,2,337,0.00593471810089021
"566","bias effectively",2,2,337,0.00593471810089021
"567","bias facial",3,2,337,0.00593471810089021
"568","bias identification",3,2,337,0.00593471810089021
"569","bias issues",2,2,337,0.00593471810089021
"570","bias related",2,2,337,0.00593471810089021
"571","bias resulting",2,2,337,0.00593471810089021
"572","bias search",2,2,337,0.00593471810089021
"573","bias social",2,2,337,0.00593471810089021
"574","bias user",2,2,337,0.00593471810089021
"575","biased ai",2,2,337,0.00593471810089021
"576","biased data",2,2,337,0.00593471810089021
"577","biased performance",2,2,337,0.00593471810089021
"578","biases data",2,2,337,0.00593471810089021
"579","biometric systems",3,2,337,0.00593471810089021
"580","boost performance",2,2,337,0.00593471810089021
"581","box models",4,2,337,0.00593471810089021
"582","box software",2,2,337,0.00593471810089021
"583","box systems",2,2,337,0.00593471810089021
"584","bridge gap",2,2,337,0.00593471810089021
"585","bring people",2,2,337,0.00593471810089021
"586","browser extension",2,2,337,0.00593471810089021
"587","bubble effect",2,2,337,0.00593471810089021
"588","budget content",2,2,337,0.00593471810089021
"589","business model",2,2,337,0.00593471810089021
"590","calling question",2,2,337,0.00593471810089021
"591","captured data",2,2,337,0.00593471810089021
"592","carefully role",2,2,337,0.00593471810089021
"593","categories gender",2,2,337,0.00593471810089021
"594","categories race",2,2,337,0.00593471810089021
