"","source","audit_type_condensed","authors","title","urls","journal_series_institution","year","keywords","abstract","source_detailed","audit_type","paper_id"
"11","ACMDL - Accountability","Ecosystem","Spiliotopoulos D,Margaris D,Vassilakis C","Citizen Engagement for Transparent and Accountable Policy Modelling","https://doi.org/10.1145/3297662.3365813;http://dx.doi.org/10.1145/3297662.3365813","Association for Computing Machinery",2019,"Accountability, e-Government, Transparency, Policy Modelling, Natural Language Processing, Mobile Public Services, Legislation, Citizen Engagement","This work presents a platform for linked legislative data to engage citizens in transparent and effective democracies. With a focus on scaling up participatory approaches from local to national level, the approach extends well established and open source tools and technologies, to build mobile monitoring and analysis tools that increase transparency of law-making and implementation to citizens. This is achieved by combining open data and open services with user and citizen generated content, in order to address citizen's needs in the context of open government. Data and feeds from trusted sources are interconnected with new and re-purposed data feeds generated by users via the social web to form a meaningful, searchable, customizable, reusable and open data-focused personalised mobile public service approach. The framework exploits the social aspects of open data, as well as the training of users, citizens and public servants to be able to understand and demand useful public open data, as well as facilitate the opening of more data.","ACMDL - Accountability","Ecosystem",14
"12","ACMDL - Accountability","Ecosystem","Brown A,Chouldechova A,Putnam-Hornstein E,Tobin A,Vaithianathan R","Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-Making in Child Welfare Services","https://doi.org/10.1145/3290605.3300271;http://dx.doi.org/10.1145/3290605.3300271","Association for Computing Machinery",2019,"algorithmic bias, algorithmic accountability, participatory design, decision-support, child welfare services, automated decision systems","Algorithmic decision-making systems are increasingly being adopted by government public service agencies. Researchers, policy experts, and civil rights groups have all voiced concerns that such systems are being deployed without adequate consideration of potential harms, disparate impacts, and public accountability practices. Yet little is known about the concerns of those most likely to be affected by these systems. We report on workshops conducted to learn about the concerns of affected communities in the context of child welfare services. The workshops involved 83 study participants including families involved in the child welfare system, employees of child welfare agencies, and service providers. Our findings indicate that general distrust in the existing system contributes significantly to low comfort in algorithmic decision-making. We identify strategies for improving comfort through greater transparency and improved communication strategies. We discuss the implications of our study for accountable algorithm design for child welfare applications.","ACMDL - Accountability","Ecosystem",27
"13","ACMDL - Accountability","Meta-Commentary","Ustun B,Spangher A,Liu Y","Actionable Recourse in Linear Classification","https://doi.org/10.1145/3287560.3287566;http://dx.doi.org/10.1145/3287560.3287566","Association for Computing Machinery",2019,"accountability, audit, classification, integer programming, recourse, credit scoring","Classification models are often used to make decisions that affect humans: whether to approve a loan application, extend a job offer, or provide insurance. In such applications, individuals should have the ability to change the decision of the model. When a person is denied a loan by a credit scoring model, for example, they should be able to change the input variables of the model in a way that will guarantee approval. Otherwise, this person will be denied the loan so long as the model is deployed, and -- more importantly --will lack agency over a decision that affects their livelihood.In this paper, we propose to evaluate a linear classification model in terms of recourse, which we define as the ability of a person to change the decision of the model through actionable input variables (e.g., income vs. age or marital status). We present an integer programming toolkit to: (i) measure the feasibility and difficulty of recourse in a target population; and (ii) generate a list of actionable changes for a person to obtain a desired outcome. We discuss how our tools can inform different stakeholders by using them to audit recourse for credit scoring models built with real-world datasets. Our results illustrate how recourse can be significantly affected by common modeling practices, and motivate the need to evaluate recourse in algorithmic decision-making.","ACMDL - Accountability","Tool",50
"14","ACMDL - Accountability","Case Study","Grasso I,Russell D,Matthews A,Matthews J,Record NR","Applying Algorithmic Accountability Frameworks with Domain-Specific Codes of Ethics: A Case Study in Ecosystem Forecasting for Shellfish Toxicity in the Gulf of Maine","https://doi.org/10.1145/3412815.3416897;http://dx.doi.org/10.1145/3412815.3416897","Association for Computing Machinery",2020,"ecology, ethics, algorithmic accountability, forecasting","Ecological forecasts are used to inform decisions that can havesignificant impacts on the lives of individuals and on the healthof ecosystems. These forecasts, or models, embody the ethics oftheir creators as well as many seemingly arbitrary implementationchoices made along the way. They can contain implementationerrors as well as reflect patterns of bias learned when ingestingdatasets derived from past biased decision making. Principles andframeworks for algorithmic accountability allow a wide range ofstakeholders to place the results of models and software systemsinto context. We demonstrate how the combination of algorithmicaccountability frameworks and domain-specific codes of ethics helpanswer calls to uphold fairness and human values, specifically indomains that utilize machine learning algorithms. This helps avoidmany of the unintended consequences that can result from deploy-ing ""black box"" systems to solve complex problems. In this paper,we discuss our experience applying algorithmic accountability prin-ciples and frameworks to ecosystem forecasting, focusing on a casestudy forecasting shellfish toxicity in the Gulf of Maine. We adaptexisting frameworks such as Datasheets for Datasets and ModelCards for Model Reporting from their original focus on personallyidentifiable private data to include public datasets, such as thoseoften used in ecosystem forecasting applications, to audit the casestudy. We show how high level algorithmic accountability frame-works and domain level codes of ethics compliment each other,incentivizing more transparency, accountability, and fairness inautomated decision-making systems.","ACMDL - Accountability","Case Study",29
"15","ACMDL - Accountability","Ecosystem","Watson H,Moju-Igbene E,Kumari A,Das S","""We Hold Each Other Accountable"": Unpacking How Social Groups Approach Cybersecurity and Privacy Together","https://doi.org/10.1145/3313831.3376605;http://dx.doi.org/10.1145/3313831.3376605","Association for Computing Machinery",2020,"qualitative methods, groups, interviews, security, privacy, social cybersecurity","Digital resources are often collectively owned and shared by small social groups (e.g., friends sharing Netflix accounts, roommates sharing game consoles, families sharing WhatsApp groups). Yet, little is known about (i) how these groups jointly navigate cybersecurity and privacy (S&P) decisions for shared resources, (ii) how shared experiences influence individual S&P attitudes and behaviors, and (iii) how well existing S&P controls map onto group needs. We conducted group interviews and a supplemental diary study with nine social groups (n=34) of varying relationship types. We identified why, how and what resources groups shared, their jointly construed threat models, and how these factors influenced group strategies for securing shared resources. We also identified missed opportunities for cooperation and stewardship among group members that could have led to improved S&P behaviors, and found that existing S&P controls often fail to meet the needs of these small social groups.","ACMDL - Accountability","Ecosystem",30
"16","ACMDL - Accountability","Case Study","Javadi SA,Cloete R,Cobbe J,Lee MS,Singh J","Monitoring Misuse for Accountable 'Artificial Intelligence as a Service'","https://doi.org/10.1145/3375627.3375873;http://dx.doi.org/10.1145/3375627.3375873","Association for Computing Machinery",2020,"machine learning, aiaas, accountability, law, compliance, cloud computing, monitoring, mlaas, misuse, audit, artificial intelligence","AI is increasingly being offered 'as a service' (AIaaS). This entails service providers offering customers access to pre-built AI models and services, for tasks such as object recognition, text translation, text-to-voice conversion, and facial recognition, to name a few. The offerings enable customers to easily integrate a range of powerful AI-driven capabilities into their applications. Customers access these models through the provider's APIs, sending particular data to which models are applied, the results of which returned.However, there are many situations in which the use of AI can be problematic. AIaaS services typically represent generic functionality, available 'at a click'. Providers may therefore, for reasons of reputation or responsibility, seek to ensure that the AIaaS services they offer are being used by customers for 'appropriate' purposes.This paper introduces and explores the concept whereby AIaaS providers uncover situations of possible service misuse by their customers. Illustrated through topical examples, we consider the technical usage patterns that could signal situations warranting scrutiny, and raise some of the legal and technical challenges of monitoring for misuse. In all, by introducing this concept, we indicate a potential area for further inquiry from a range of perspectives.","ACMDL - Accountability","Case Study",47
"17","ACMDL - Accountability","Case Study","Sharma S,Kumar Kar A,Gupta MP","Unpacking Digital Accountability: Ensuring Efficient and Answerable e-Governance Service Delivery","https://doi.org/10.1145/3494193.3494229;http://dx.doi.org/10.1145/3494193.3494229","Association for Computing Machinery",2021,"Digital Accountability, e-governance, BWM, TISM, MICMAC","Governments around the world are investing many resources to develop ubiquitous governance networks and information systems; this is seen as the advent of Digital Era Governance (DEG). Government websites or service platforms are replacing the physical offices of government department and in-person state-citizen interactions. It is a transformative shift in not only the workings of the State but also a change in the overall governance ecosystem. Citizens' role as co-creators and participants in policy and initiative design is increasing, and there is a general push for collaborative e-governance.With this study, we attempt to explore how governments can ensure accountability by design and policy, i.e., Digital Accountability in these websites or platforms that are going to act as a one-stop shop for citizens regarding government services. We have taken a multi-method approach to explore the various constituent factors that help build up accountability in any e-government process or websites delivering web services. Best Worst Method (BWM) is employed to find the relative weights of these factors in the chosen context. These are validated using qualitative techniques of Total Interpretative structural modelling, and the Matrix of Cross Impact Multiplications Applied to Classification (TISM-MICMAC). We have also attempted to explore the contextual relationships between these factors and how do they help conceptualise and operationalise digital accountability for e-governance.","ACMDL - Accountability","Case Study",3
"18","ACMDL - Accountability","Case Study","Shen Z","The Regulatory Path of Big-Data Price Discrimination-Based on Economic Characteristics and Legal Accountability","https://doi.org/10.1145/3474944.3474954;http://dx.doi.org/10.1145/3474944.3474954","Association for Computing Machinery",2021,"differential treatment, platform economy, big-data price discrimination, anti-monopoly, fair trading","Big data has not been effectively governed after it has received social attention since 2018. This paper aims to explore a more appropriate and feasible regulatory path by exploring the reasons why big-data price discrimination has failed to obtain legal regulation, as well as the economic, technological, and market structure causes of big-data price discrimination. In the argument, it is found that there are legal problems such as doubtful illegality, regulatory gaps that belong to the intersection of multiple laws, and difficulty in obtaining evidence. And because of the profit-seeking nature of the platform economy, the unconsciousness of algorithms and the uniqueness of the platform market structure, the boundaries between big-data price discrimination and reasonable marketing strategies are difficult to decide. It is not possible to totally prohibit big-data price discrimination and hinder the development of the new business model of the platform economy. However, when the platform's profit-seeking behavior infringes on the market order and consumer rights, big-data price discrimination is legally accountable. On one side, big-data price discrimination may infringe consumers’ fair trading rights, and the judgment criteria should be determined based on cost and profit rate. On the other side, in the anti-monopoly law, the boundary between reasonable transaction habits and legally accountable differential treatment should be distinguished for big-data price discrimination.","ACMDL - Accountability","Case Study",5
"19","ACMDL - Accountability","Ecosystem","Getto G,Flanagan S,Labriola J","Designing Boater Advocacy: A Lean UX Mobile App Project to Increase Emergency Response Accountability","https://doi.org/10.1145/3472714.3473631;http://dx.doi.org/10.1145/3472714.3473631","Association for Computing Machinery",2021,"advocacy, user experience, mobile UX, methods","Based on an ongoing UX research project into the development of a grant-funded mobile safety application for recreational boaters, this paper details a workflow for aligning user advocacy with organizational accountability. Essentially, boating safety regulations have not been updated since the 1970s due to successful lobbying by boating manufacturers. Meanwhile, numerous boating safety concerns and associated incidents go unreported each year. User research into this context has taught us that recreational boaters most want a mobile application that will help them enjoy their boating trips while remaining safe. State agencies most want to locate boaters who are in distress without having to launch costly, and often ineffective, searches over large areas. Based on a review of best practices from amassed literature, as well as our own analysis of user interviews with 141 stakeholders obtained during an NSF grant devoted to this purpose, we will discuss a Lean UX workflow for mobile application development that balances user goals with organizational accountability.","ACMDL - Accountability","Ecosystem",55
"20","ACMDL - Accountability","Data Audit","Poirier L","Accountable Data: The Politics and Pragmatics of Disclosure Datasets","https://doi.org/10.1145/3531146.3533201;http://dx.doi.org/10.1145/3531146.3533201","Association for Computing Machinery",2022,"data provenance, accountability, infrastructure, disclosure","This paper attends specifically to what I call “disclosure datasets” - tabular datasets produced in accordance with laws requiring various kinds of disclosure. For the purposes of this paper, the most significant defining feature of disclosure datasets is that they aggregate information produced and reported by the same institutions they are meant to hold accountable. Through a series of case studies of disclosure datasets in the United States, I specifically draw attention to two concerns with disclosure datasets: First, for disclosure datasets, there is often political and social mobilization around the definitions that determine reporting thresholds, which in turn implicates what observations end up in the dataset. Changes in reporting thresholds can be traced along changes in political party power as the aims to promote accountability through mandated disclosure often get pitted against the aims to reduce regulatory burden. Second, for disclosure datasets, the observational unit – what is ultimately being counted in the data – is often not a person, institution, or action but instead a form that the reporting institution is required by law to fill out. Forms infrastructure the information that ends up in the dataset in notable ways. This work contributes to recent calls to promote the transparency and accountability of data science work through improved inquiry into and documentation of the social lineages of source datasets. The analysis of disclosure datasets presented in this paper poses important questions regarding what ultimately gets documented in the data, along with the representativeness and usefulness of these accountability mechanisms.","ACMDL - Accountability","Data Audit",6
"21","ACMDL - Accountability","Meta-Commentary","Ramesh D,Kameswaran V,Wang D,Sambasivan N","How Platform-User Power Relations Shape Algorithmic Accountability: A Case Study of Instant Loan Platforms and Financially Stressed Users in India","https://doi.org/10.1145/3531146.3533237;http://dx.doi.org/10.1145/3531146.3533237","Association for Computing Machinery",2022,"algorithmic fairness, socio-technical systems, algorithmic accountability, instant loans, human-ai interaction","Accountability, a requisite for responsible AI, can be facilitated through transparency mechanisms such as audits and explainability. However, prior work suggests that the success of these mechanisms may be limited to Global North contexts; understanding the limitations of current interventions in varied socio-political conditions is crucial to help policymakers facilitate wider accountability. To do so, we examined the mediation of accountability in the existing interactions between vulnerable users and a ‘high-risk’ AI system in a Global South setting. We report on a qualitative study with 29 financially-stressed users of instant loan platforms in India. We found that users experienced intense feelings of indebtedness for the ‘boon’ of instant loans, and perceived huge obligations towards loan platforms. Users fulfilled obligations by accepting harsh terms and conditions, over-sharing sensitive data, and paying high fees to unknown and unverified lenders. Users demonstrated a dependence on loan platforms by persisting with such behaviors despite risks of harms such as abuse, recurring debts, discrimination, privacy harms, and self-harm to them. Instead of being enraged with loan platforms, users assumed responsibility for their negative experiences, thus releasing the high-powered loan platforms from accountability obligations. We argue that accountability is shaped by platform-user power relations, and urge caution to policymakers in adopting a purely technical approach to fostering algorithmic accountability. Instead, we call for situated interventions that enhance agency of users, enable meaningful transparency, reconfigure designer-user relations, and prompt a critical reflection in practitioners towards wider accountability. We conclude with implications for responsibly deploying AI in FinTech applications in India and beyond.","ACMDL - Accountability","Critique",7
"22","ACMDL - Accountability","Case Study","Cloete R,Norval C,Singh J","Auditable Augmented/Mixed/Virtual Reality: The Practicalities of Mobile System Transparency","https://doi.org/10.1145/3495001;http://dx.doi.org/10.1145/3495001","Association for Computing Machinery",2022,"accountability, mobile/pervasive systems, audit, Android, transparency, audit tooling, augmented/mixed/virtual reality","Virtual, Augmented and Mixed Reality (XR) technologies are becoming increasingly pervasive. However, the contextual nature of XR, and its tight coupling of the digital and physical environments, brings real propensity for loss and harm.This means that auditability---the ability to inspect how a system operates---will be crucial for dealing with incidents as they occur, by providing the information enabling rectification, repair and recourse. However, supporting audit in XR brings considerations, as the process of capturing audit data itself has implications and challenges, both for the application (e.g., overheads) and more broadly.This paper explores the practicalities of auditing XR systems, characterises the tensions between audit and other considerations, and argues the need for flexible tools enabling the management of such. In doing so, we introduce Droiditor, a configurable open-source Android toolkit that enables the runtime capture of audit-relevant data from mobile applications. We use Droiditor as a means to indicate some potential implications of audit data capture, demonstrate how greater configurability can assist in managing audit-related concerns, and discuss the potential considerations that result. Given the societal demands for more transparent and accountable systems, our broader aim is to draw attention to auditability, highlighting tangible ways forward and areas for future work.","ACMDL - Accountability","Case Study",58
"23","ACMDL - Accountability","Meta-Commentary","Liu H,Wang Y,Fan W,Liu X,Li Y,Jain S,Liu Y,Jain AK,Tang J","Trustworthy AI: A Computational Perspective","https://doi.org/10.1145/3546872;http://dx.doi.org/10.1145/3546872","ACM Trans. Intell. Syst. Technol.",2022,"artificial intelligence, robustness, environmental well-being, privacy, accountability, fairness, explainability","In the past few decades, artificial intelligence (AI) technology has experienced swift developments, changing everyone’s daily life and profoundly altering the course of human society. The intention behind developing AI was and is to benefit humans by reducing labor, increasing everyday conveniences, and promoting social good. However, recent research and AI applications indicate that AI can cause unintentional harm to humans by, for example, making unreliable decisions in safety-critical scenarios or undermining fairness by inadvertently discriminating against a group or groups. Consequently, trustworthy AI has recently garnered increased attention regarding the need to avoid the adverse effects that AI could bring to people, so people can fully trust and live in harmony with AI technologies. A tremendous amount of research on trustworthy AI has been conducted and witnessed in recent years. In this survey, we present a comprehensive appraisal of trustworthy AI from a computational perspective to help readers understand the latest technologies for achieving trustworthy AI. Trustworthy AI is a large and complex subject, involving various dimensions. In this work, we focus on six of the most crucial dimensions in achieving trustworthy AI: (i) Safety & Robustness, (ii) Nondiscrimination & Fairness, (iii) Explainability, (iv) Privacy, (v) Accountability & Auditability, and (vi) Environmental Well-being. For each dimension, we review the recent related technologies according to a taxonomy and summarize their applications in real-world systems. We also discuss the accordant and conflicting interactions among different dimensions and discuss potential aspects for trustworthy AI to investigate in the future.","ACMDL - Accountability","Meta-Commentary",59
"24","ACMDL - Accountability","Meta-Commentary","Orphanou K,Otterbacher J,Kleanthous S,Batsuren K,Giunchiglia F,Bogina V,Tal AS,Hartman A,Kuflik T","Mitigating Bias in Algorithmic Systems - A Fish-Eye View","https://doi.org/10.1145/3527152;http://dx.doi.org/10.1145/3527152","ACM Comput. Surv.",2022,"transparency, fairness, Algorithmic bias, social bias, explainability","Mitigating bias in algorithmic systems is a critical issue drawing attention across communities within the information and computer sciences. Given the complexity of the problem and the involvement of multiple stakeholders – including developers, end users and third-parties – there is a need to understand the landscape of the sources of bias, and the solutions being proposed to address them, from a broad, cross-domain perspective. This survey provides a “fish-eye view,” examining approaches across four areas of research. The literature describes three steps toward a comprehensive treatment – bias detection, fairness management and explainability management – and underscores the need to work from within the system as well as from the perspective of stakeholders in the broader context.","ACMDL - Accountability","Meta-Commentary",60
"25","AIES","Case Study","Kyle et al.","Always Lurking: Understanding and Mitigating Bias in Online Human Trafficking Detection","https://dl.acm.org/doi/10.1145/3278721.3278782","AIES",2018,"Human Trafficking; Web Crawling; Bias Mitigation; Clustering, Text Classification","Web-based human trafficking activity has increased in recent years but it remains sparsely dispersed among escort advertisements and difficult to identify due to its often-latent nature. The use of intelligent systems to detect trafficking can thus have a direct impact on investigative resource allocation and decision-making, and, more broadly, help curb a widespread social problem. Trafficking detection involves assigning a normalized score to a set of escort advertisements crawled from the Web -- a higher score indicates a greater risk of trafficking-related (involuntary) activities. In this paper, we define and study the problem of trafficking detection and present a trafficking detection pipeline architecture developed over three years of research within the DARPA Memex program. Drawing on multi-institutional data, systems, and experiences collected during this time, we also conduct post hoc bias analyses and present a bias mitigation plan. Our findings show that, while automatic trafficking detection is an important application of AI for social good, it also provides cautionary lessons for deploying predictive machine learning algorithms without appropriate de-biasing. This ultimately led to integration of an interpretable solution into a search system that contains over 100 million advertisements and is used by over 200 law enforcement agencies to investigate leads.","ACMDL - AIES","Case Study",440
"26","AIES","Meta-Commentary","Tan et al.","Distill-and-Compare: Auditing Black-Box Models Using Transparent Model Distillation","https://dl.acm.org/doi/10.1145/3278721.3278725","AIES",2018,"Interpretability; Black-box models; Distillation; Fairness","Black-box risk scoring models permeate our lives, yet are typically proprietary or opaque. We propose Distill-and-Compare, an approach to audit such models without probing the black-box model API or pre-defining features to audit. To gain insight into black-box models, we treat them as teachers, training transparent student models to mimic the risk scores assigned by the black-box models. We compare the mimic model trained with distillation to a second, un-distilled transparent model trained on ground truth outcomes, and use differences between the two models to gain insight into the black-box model. We demonstrate the approach on four data sets: COMPAS, Stop-and-Frisk, Chicago Police, and Lending Club. We also propose a statistical test to determine if a data set is missing key features used to train the black-box model. Our test finds that the ProPublica data is likely missing key feature(s) used in COMPAS.","ACMDL - AIES","Method",478
